dane1;eng1;dane2;eng2;key;Octant Code;Item Code;"CSIV Item: ""How important is it that...""";questions;labels
czy_leczenie_szpitalne;if_hospital_treatment;skala1_r8;CSIV_8;Submissive_Communal;-A+C (JK);JK1;I put their needs before mine;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym stawiał innych potrzeby ponad swoje.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
czy_leki;if_medication;skala1_r9;CSIV_9;Agentic;+A (PA);PA2;they acknowledge when I am right;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby oni przyznawali mi rację, kiedy ją mam.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
zmiana_samopoczucie;change_selfesteem;skala1_r10;CSIV_10;Submissive_Separate;-A-C (FG);FG2;I not make a social blunder;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie popełniał gaf.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
zmiana_praca;change_work;skala1_r11;CSIV_11;Communal;+C (LM);LM2;they show interest in what I have to say;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby oni pokazywali zainteresowanie wobec tego, co mam do powiedzenia.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
zmiana_relacje;change_relationships;skala1_r12;CSIV_12;Agentic_Separate;+A-C (BC);BC2;I attack back when I am attacked;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym odpowiadał atakiem, gdy zostanę zaatakowany(a).;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_1;;skala1_r13;CSIV_13;Submissive;-A (HI);HI2;I not get into an argument;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie wdawał się w kłótnie.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_2;;skala1_r14;CSIV_14;Agentic_Communal;+A+C (NO);NO2;they not deceive me;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie nie oszukiwali.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_3;;skala1_r15;CSIV_15;Separate;-C (DE);DE2;they not know what I am thinking or feeling;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie wiedzieli(a), co myślę lub czuję.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_4;;skala1_r16;CSIV_16;Submissive_Communal;-A+C (JK);JK2;they not see me as getting in their way;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie postrzegali mnie jako osoby, która wchodzi im w drogę.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_5;;skala1_r17;CSIV_17;Agentic;+A (PA);PA3;I get the chance to voice my views;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym miał szansę wygłosić swoje poglądy.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_6;;skala1_r18;CSIV_18;Submissive_Separate;-A-C (FG);FG3;I appear aloof;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym wydawał się powściągliwy.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_7;;skala1_r19;CSIV_19;Communal;+C (LM);LM3;they support me when I am having problems;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie wspierali, gdy mam problemy.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_8;;skala1_r20;CSIV_20;Agentic_Separate;+A-C (BC);BC3;I keep the upper hand;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym utrzymywał przewagę.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_9;;skala1_r21;CSIV_21;Submissive;-A (HI);HI3;I do what they want me to do;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym robił to, czego oni ode mnie chcą.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_10;;skala1_r22;CSIV_22;Agentic_Communal;+A+C (NO);NO3;I express myself openly;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym otwarcie wyrażał siebie.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_11;;skala1_r23;CSIV_23;Separate;-C (DE);DE3;I not show I care about them;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie pokazywał, że się o nich troszczę.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_12;;skala1_r24;CSIV_24;Submissive_Communal;-A+C (JK);JK3;I get along with them;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym dobrze się z nimi dogadywał.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_13;;skala1_r25;CSIV_25;Agentic;+A (PA);PA4;they respect my privacy;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby szanowali(a) moją prywatność.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_14;;skala1_r26;CSIV_26;Submissive_Separate;-A-C (FG);FG4;I not make mistakes in front of them;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie popełniał błędów w ich obecności.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_15;;skala1_r27;CSIV_27;Communal;+C (LM);LM4;they understand me;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie rozumieli.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_16;;skala1_r28;CSIV_28;Agentic_Separate;+A-C (BC);BC4;I put my needs first;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym stawiał swoje potrzeby na pierwszym miejscu.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_17;;skala1_r29;CSIV_29;Submissive;-A (HI);HI4;I live up to their expectations;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym spełniał ich oczekiwania.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_18;;skala1_r30;CSIV_30;Agentic_Communal;+A+C (NO);NO4;they respect what I have to say;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby szanowali(a) to, co mam do powiedzenia.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_19;;skala1_r31;CSIV_31;Separate;-C (DE);DE4;they keep their distance from me;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby trzymali się do mnie na dystans.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_20;;skala1_r32;CSIV_32;Submissive_Communal;-A+C (JK);JK4;they not reject me;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie nie odrzucili.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_21;;skala1_r33;CSIV_33;Agentic;+A (PA);PA5;I not back down when disagreements arise;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie ustępował, gdy pojawiają się różnice zdań.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_22;;skala1_r34;CSIV_34;Submissive_Separate;-A-C (FG);FG5;I not say something stupid;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie powiedział czegoś głupiego.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_23;;skala1_r35;CSIV_35;Communal;+C (LM);LM5;they come to me with their problems;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby do mnie zwracali(a) się z swoimi problemami.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_24;;skala1_r36;CSIV_36;Agentic_Separate;+A-C (BC);BC5;I am the one in charge;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  że ja tu dowodzę.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_25;;skala1_r37;CSIV_37;Submissive;-A (HI);HI5;I not make them angry;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie rozzłościł ich.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_26;;skala1_r38;CSIV_38;Agentic_Communal;+A+C (NO);NO5;I have an impact on them;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym miała wpływ na nich.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_27;;skala1_r39;CSIV_39;Separate;-C (DE);DE5;I do better than them;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mi szło lepiej niż im.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_28;;skala1_r40;CSIV_40;Submissive_Communal;-A+C (JK);JK5;I make them feel happy;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym ich uszczęśliwiał.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_29;;skala1_r41;CSIV_41;Agentic;+A (PA);PA6;they not tell me what to do;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie mówili mi, co robić.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_30;;skala1_r42;CSIV_42;Submissive_Separate;-A-C (FG);FG6;I not expose myself to the possibility of rejection;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie wystawił się na możliwość odrzucenia.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_31;;skala1_r43;CSIV_43;Communal;+C (LM);LM6;they are considerate;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby byli(a) życzliwi(a).;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_32;;skala1_r44;CSIV_44;Agentic_Separate;+A-C (BC);BC6;I avenge insults and injustices against me;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym pomścił się za zniewagi i niesprawiedliwość wobec mnie.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_33;;skala1_r45;CSIV_45;Submissive;-A (HI);HI6;I go along with what they want to do;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby iść za tym, co oni chcą robić.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_34;;skala1_r46;CSIV_46;Agentic_Communal;+A+C (NO);NO6;they show me respect;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby okazywali mi szacunek.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_35;;skala1_r47;CSIV_47;Separate;-C (DE);DE6;they see me as cool and unemotional;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie postrzegali jako opanowanego i nieemocjonalnego.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_36;;skala1_r48;CSIV_48;Submissive_Communal;-A+C (JK);JK6;they approve of me;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby oni mnie akceptowali.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_37;;skala1_r49;CSIV_49;Agentic;+A (PA);PA7;I am obeyed when I am in authority;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby inni byli mi posłuszni, gdy jestem u władzy.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_38;;skala1_r50;CSIV_50;Submissive_Separate;-A-C (FG);FG7;I not expose myself to ridicule;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie narazić się na kpiny.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_39;;skala1_r51;CSIV_51;Communal;+C (LM);LM7;they stay with me when things aren't going well;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby byli ze mną, jak sprawy idą źle.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_40;;skala1_r52;CSIV_52;Agentic_Separate;+A-C (BC);BC7;I win if there is an argument;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby wygrać, jeśli jest jakaś kłótnia.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_41;;skala1_r53;CSIV_53;Submissive;-A (HI);HI7;I not embarrass myself;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym się nie skompromitował.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_42;;skala1_r54;CSIV_54;Agentic_Communal;+A+C (NO);NO7;they see me as responsible;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby widzieli mnie jako osobę odpowiedzialną.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_43;;skala1_r55;CSIV_55;Separate;-C (DE);DE7;I appear detached;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym jawił się jako osoba odcięta.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_44;;skala1_r56;CSIV_56;Submissive_Communal;-A+C (JK);JK7;they think I am a nice person;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby myśleli, że jestem miłą osobą.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_45;;skala1_r57;CSIV_57;Agentic;+A (PA);PA8;they admit it when they are wrong;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby przyznawali się, kiedy się mylą.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_46;;skala1_r58;CSIV_58;Submissive_Separate;-A-C (FG);FG8;I keep my thoughts or feelings to myself;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby zachować swoje myśli lub uczucia dla siebie.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_47;;skala1_r59;CSIV_59;Communal;+C (LM);LM8;they show concern for how I am feeling;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby okazywali troskę o to, jak się czuję.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_48;;skala1_r60;CSIV_60;Agentic_Separate;+A-C (BC);BC8;they mind their own business;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby pilnowali własnych interesów.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_49;;skala1_r61;CSIV_61;Submissive;-A (HI);HI8;they not get angry with me;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby się na mnie nie zezłościli.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_50;;skala1_r62;CSIV_62;Agentic_Communal;+A+C (NO);NO8;they listen to what I have to say;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby słuchali, co mam do powiedzenia.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_51;;skala1_r63;CSIV_63;Separate;-C (DE);DE8;I not reveal what I am really like;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie ujawniać, jaki naprawdę jestem.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_52;;skala1_r64;CSIV_64;Submissive_Communal;-A+C (JK);JK8;they not get their feelings hurt;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie zranić ich uczuć.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_53;;skala1_r65;CSIV_60b;Agentic_Separate;+A-C (BC);BC8;they mind their own business;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby pilnowali własnego nosa.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
CSIV_54;;skala2a_r1;IIPC.1_1;IBC;;;;Trudno mi: - ufać innym ludziom.;0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno
