"","variable","question","labels"
"26","skala1_r16","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie postrzegali mnie jako osoby, która wchodzi im w drogę.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"27","skala1_r17","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym miał szansę wygłosić swoje poglądy.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"28","skala1_r18","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym wydawał się powściągliwy.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"29","skala1_r19","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie wspierali, gdy mam problemy.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"30","skala1_r20","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym utrzymywał przewagę.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"31","skala1_r21","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym robił to, czego oni ode mnie chcą.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"32","skala1_r22","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym otwarcie wyrażał siebie.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"33","skala1_r23","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie pokazywał, że się o nich troszczę.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"34","skala1_r24","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym dobrze się z nimi dogadywał.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"35","skala1_r25","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby szanowali(a) moją prywatność.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"36","skala1_r26","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie popełniał błędów w ich obecności.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"37","skala1_r27","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie rozumieli.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"38","skala1_r28","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym stawiał swoje potrzeby na pierwszym miejscu.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"39","skala1_r29","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym spełniał ich oczekiwania.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"40","skala1_r30","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby szanowali(a) to, co mam do powiedzenia.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"41","skala1_r31","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby trzymali się do mnie na dystans.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"42","skala1_r32","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie nie odrzucili.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"43","skala1_r33","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie ustępował, gdy pojawiają się różnice zdań.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"44","skala1_r34","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie powiedział czegoś głupiego.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"45","skala1_r35","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby do mnie zwracali(a) się z swoimi problemami.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"46","skala1_r36","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  że ja tu dowodzę.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"47","skala1_r37","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie rozzłościł ich.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"48","skala1_r38","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym miała wpływ na nich.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"49","skala1_r39","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mi szło lepiej niż im.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"50","skala1_r40","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym ich uszczęśliwiał.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"51","skala1_r41","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie mówili mi, co robić.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"52","skala1_r42","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie wystawił się na możliwość odrzucenia.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"53","skala1_r43","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby byli(a) życzliwi(a).","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"54","skala1_r44","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym pomścił się za zniewagi i niesprawiedliwość wobec mnie.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"55","skala1_r45","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby iść za tym, co oni chcą robić.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"56","skala1_r46","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby okazywali mi szacunek.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"57","skala1_r47","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie postrzegali jako opanowanego i nieemocjonalnego.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"58","skala1_r48","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby oni mnie akceptowali.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"59","skala1_r49","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby inni byli mi posłuszni, gdy jestem u władzy.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"60","skala1_r50","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie narazić się na kpiny.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"61","skala1_r51","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby byli ze mną, jak sprawy idą źle.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"62","skala1_r52","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby wygrać, jeśli jest jakaś kłótnia.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"63","skala1_r53","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym się nie skompromitował.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"64","skala1_r54","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby widzieli mnie jako osobę odpowiedzialną.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"65","skala1_r55","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym jawił się jako osoba odcięta.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"66","skala1_r56","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby myśleli, że jestem miłą osobą.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"67","skala1_r57","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby przyznawali się, kiedy się mylą.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"68","skala1_r58","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby zachować swoje myśli lub uczucia dla siebie.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"69","skala1_r59","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby okazywali troskę o to, jak się czuję.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"70","skala1_r60","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby pilnowali własnych interesów.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"71","skala1_r61","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby się na mnie nie zezłościli.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"72","skala1_r62","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby słuchali, co mam do powiedzenia.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"73","skala1_r63","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie ujawniać, jaki naprawdę jestem.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"74","skala1_r64","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie zranić ich uczuć.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"75","skala1_r65","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby pilnowali własnego nosa.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"76","skala2a_r1","Trudno mi: - ufać innym ludziom.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"77","skala2a_r2","Trudno mi: - mówić „nie” innym ludziom.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"78","skala2a_r3","Trudno mi: - dołączać do grup.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"79","skala2a_r4","Trudno mi: - zachować prywatność przed innymi ludźmi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"80","skala2a_r5","Trudno mi: - dawać ludziom znać, czego chcę.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"81","skala2a_r6","Trudno mi: - powiedzieć komuś, aby przestał mi przeszkadzać.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"82","skala2a_r7","Trudno mi: - przedstawiać się nowym osobom.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"83","skala2a_r8","Trudno mi: - konfrontować ludzi z pojawiającymi się problemami.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"84","skala2a_r9","Trudno mi: - być asertywnym wobec drugiej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"85","skala2a_r10","Trudno mi: - dawać ludziom znać, że jestem zły.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"86","skala2a_r11","Trudno mi: - podjąć długoterminowe zobowiązanie wobec innej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"87","skala2a_r12","Trudno mi: - być dla kogoś szefem.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"88","skala2a_r13","Trudno mi: - być agresywnym wobec kogoś, gdy sytuacja tego wymaga.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"89","skala2a_r14","Trudno mi: - udzielać się towarzysko z innymi ludźmi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"90","skala2a_r15","Trudno mi: - okazywać uczucia innym.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"91","skala2a_r16","Trudno mi: - dogadywać się z ludźmi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"92","skala2a_r17","Trudno mi: - zrozumieć punkt widzenia innej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"93","skala2a_r18","Trudno mi: - okazywać uczucia innym ludziom wprost.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"94","skala2a_r19","Trudno mi: - być stanowczym, kiedy trzeba.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"95","skala2a_kontr","Pytanie kontrolne - zaznacz odpowiedź Wcale.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"96","skala2a_r20","Trudno mi: - doświadczyć miłości wobec innej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"97","skala2a_r21","Trudno mi: - stawiać innym granice.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"98","skala2a_r22","Trudno mi: - wspierać cele życiowe innej osoby.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"99","skala2a_r23","Trudno mi: - czuć bliskość do innych osób.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"100","skala2a_r24","Trudno mi: - naprawdę przejmować się problemami innych osób.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"101","skala2a_r25","Trudno mi: - kłócić się z inną osobą.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"102","skala2a_r26","Trudno mi: - spędzać czas samemu.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"103","skala2a_r27","Trudno mi: - dać drugiej osobie prezent.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"104","skala2a_r28","Trudno mi: - pozwolić sobie na złość wobec osoby, którą lubię.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"105","skala2a_r29","Trudno mi: - postawić czyjeś potrzeby przed moimi własnymi.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
"106","skala2a_r30","Trudno mi: - nie wtrącać się w sprawy innych osób.","0:0 Wcale, 1:1 Trochę, 2:2 Umiarkowanie, 3:3 Dość mocno, 4:4 Niezwykle mocno"
