"","variable","question","labels"
"24","skala1_r14","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby mnie nie oszukiwali.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"25","skala1_r15","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby nie wiedzieli(a), co myœlê lub czujê.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"26","skala1_r16","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby nie postrzegali mnie jako osoby, która wchodzi im w drogê.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"27","skala1_r17","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym mia³ szansê wyg³osiæ swoje pogl¹dy.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"28","skala1_r18","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym wydawa³ siê powœci¹gliwy.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"29","skala1_r19","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby mnie wspierali, gdy mam problemy.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"30","skala1_r20","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym utrzymywa³ przewagê.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"31","skala1_r21","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym robi³ to, czego oni ode mnie chc¹.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"32","skala1_r22","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym otwarcie wyra¿a³ siebie.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"33","skala1_r23","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie pokazywa³, ¿e siê o nich troszczê.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"34","skala1_r24","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym dobrze siê z nimi dogadywa³.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"35","skala1_r25","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby szanowali(a) moj¹ prywatnoœæ.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"36","skala1_r26","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie pope³nia³ b³êdów w ich obecnoœci.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"37","skala1_r27","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby mnie rozumieli.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"38","skala1_r28","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym stawia³ swoje potrzeby na pierwszym miejscu.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"39","skala1_r29","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym spe³nia³ ich oczekiwania.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"40","skala1_r30","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby szanowali(a) to, co mam do powiedzenia.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"41","skala1_r31","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby trzymali siê do mnie na dystans.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"42","skala1_r32","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby mnie nie odrzucili.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"43","skala1_r33","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie ustêpowa³, gdy pojawiaj¹ siê ró¿nice zdañ.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"44","skala1_r34","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie powiedzia³ czegoœ g³upiego.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"45","skala1_r35","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby do mnie zwracali(a) siê z swoimi problemami.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"46","skala1_r36","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿e ja tu dowodzê.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"47","skala1_r37","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie rozz³oœci³ ich.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"48","skala1_r38","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym mia³a wp³yw na nich.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"49","skala1_r39","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby mi sz³o lepiej ni¿ im.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"50","skala1_r40","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym ich uszczêœliwia³.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"51","skala1_r41","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby nie mówili mi, co robiæ.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"52","skala1_r42","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie wystawi³ siê na mo¿liwoœæ odrzucenia.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"53","skala1_r43","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby byli(a) ¿yczliwi(a).","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"54","skala1_r44","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym pomœci³ siê za zniewagi i niesprawiedliwoœæ wobec mnie.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"55","skala1_r45","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby iœæ za tym, co oni chc¹ robiæ.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"56","skala1_r46","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby okazywali mi szacunek.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"57","skala1_r47","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby mnie postrzegali jako opanowanego i nieemocjonalnego.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"58","skala1_r48","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby oni mnie akceptowali.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"59","skala1_r49","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby inni byli mi pos³uszni, gdy jestem u w³adzy.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"60","skala1_r50","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby nie naraziæ siê na kpiny.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"61","skala1_r51","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby byli ze mn¹, jak sprawy id¹ Ÿle.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"62","skala1_r52","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby wygraæ, jeœli jest jakaœ k³ótnia.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"63","skala1_r53","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym siê nie skompromitowa³.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"64","skala1_r54","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby widzieli mnie jako osobê odpowiedzialn¹.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"65","skala1_r55","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym jawi³ siê jako osoba odciêta.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"66","skala1_r56","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby myœleli, ¿e jestem mi³¹ osob¹.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"67","skala1_r57","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby przyznawali siê, kiedy siê myl¹.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"68","skala1_r58","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby zachowaæ swoje myœli lub uczucia dla siebie.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"69","skala1_r59","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby okazywali troskê o to, jak siê czujê.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"70","skala1_r60","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby pilnowali w³asnych interesów.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"71","skala1_r61","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby siê na mnie nie zez³oœcili.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"72","skala1_r62","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby s³uchali, co mam do powiedzenia.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"73","skala1_r63","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby nie ujawniaæ, jaki naprawdê jestem.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"74","skala1_r64","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby nie zraniæ ich uczuæ.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"75","skala1_r65","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby pilnowali w³asnego nosa.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"76","skala2a_r1","Trudno mi: - ufaæ innym ludziom.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"77","skala2a_r2","Trudno mi: - mówiæ „nie” innym ludziom.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"78","skala2a_r3","Trudno mi: - do³¹czaæ do grup.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"79","skala2a_r4","Trudno mi: - zachowaæ prywatnoœæ przed innymi ludŸmi.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"80","skala2a_r5","Trudno mi: - dawaæ ludziom znaæ, czego chcê.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"81","skala2a_r6","Trudno mi: - powiedzieæ komuœ, aby przesta³ mi przeszkadzaæ.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"82","skala2a_r7","Trudno mi: - przedstawiaæ siê nowym osobom.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"83","skala2a_r8","Trudno mi: - konfrontowaæ ludzi z pojawiaj¹cymi siê problemami.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"84","skala2a_r9","Trudno mi: - byæ asertywnym wobec drugiej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"85","skala2a_r10","Trudno mi: - dawaæ ludziom znaæ, ¿e jestem z³y.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"86","skala2a_r11","Trudno mi: - podj¹æ d³ugoterminowe zobowi¹zanie wobec innej osoby.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"87","skala2a_r12","Trudno mi: - byæ dla kogoœ szefem.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
"88","skala2a_r13","Trudno mi: - byæ agresywnym wobec kogoœ, gdy sytuacja tego wymaga.","0:0 Wcale, 1:1 Trochê, 2:2 Umiarkowanie, 3:3 Doœæ mocno, 4:4 Niezwykle mocno"
